Voltage (mV),Bit Error Rate (CDF),Block Error Rate (CDF),Static Power (mW),Access Energy (nJ)
1000,9.49151E-11,4.85965E-08,19673.16715,0.36185
990,1.43511E-10,7.34777E-08,19212.96675,0.36107
980,2.16409E-10,1.10801E-07,18758.52616,0.36028
970,3.25456E-10,1.66633E-07,18309.92531,0.35950
960,4.88118E-10,2.49916E-07,17867.08407,0.35871
950,7.30065E-10,3.73793E-07,17430.00229,0.35792
940,1.08890E-09,5.57519E-07,16998.71972,0.35714
930,1.61956E-09,8.29217E-07,16573.19604,0.35635
920,2.40201E-09,1.22983E-06,16153.47077,0.35557
910,3.55227E-09,1.81876E-06,15869.94304,0.35478
900,5.23818E-09,2.68195E-06,15460.29230,0.35400
890,7.70170E-09,3.94326E-06,15056.47710,0.35322
880,1.12904E-08,5.78069E-06,14734.05524,0.35243
870,1.65022E-08,8.44908E-06,14378.26466,0.35165
860,2.40472E-08,1.23121E-05,14039.70158,0.35086
850,3.49357E-08,1.78869E-05,13705.80125,0.35008
840,5.05990E-08,2.59063E-05,13388.47678,0.34930
830,7.30582E-08,3.74051E-05,13063.59966,0.34851
820,1.05157E-07,5.38390E-05,12754.99687,0.34773
810,1.50882E-07,7.72486E-05,12450.69202,0.34695
800,2.15800E-07,1.10484E-04,12150.62268,0.34616
790,3.07659E-07,1.57509E-04,11866.07697,0.34538
780,4.37197E-07,2.23820E-04,11574.25759,0.34460
770,6.19243E-07,3.17002E-04,11297.62643,0.34382
760,8.74194E-07,4.47487E-04,11024.71372,0.34304
750,1.23000E-06,6.29561E-04,10755.42527,0.34225
740,1.72479E-06,8.82704E-04,10489.71763,0.34147
730,2.41041E-06,1.23337E-03,10237.85710,0.34069
720,3.35703E-06,1.71733E-03,9978.49620,0.33991
710,4.65923E-06,2.38269E-03,9732.25233,0.33913
700,6.44398E-06,3.29389E-03,9478.26102,0.33835
690,8.88101E-06,4.53677E-03,9236.18108,0.33757
680,1.21962E-05,6.22503E-03,8995.31208,0.33679
670,1.66888E-05,8.50834E-03,8755.02501,0.33601
660,2.27537E-05,1.15824E-02,8514.35805,0.33523
650,3.09095E-05,1.57013E-02,8281.47793,0.33445
640,4.18339E-05,2.11917E-02,8045.39302,0.33367
630,5.64091E-05,2.84692E-02,7795.77052,0.33289
620,7.57773E-05,3.80564E-02,7548.41045,0.33211
610,1.01411E-04,5.05999E-02,7292.16697,0.33133
600,1.35198E-04,6.68844E-02,7024.53947,0.33055
590,1.79549E-04,8.78379E-02,6742.76785,0.32977
580,2.37525E-04,1.14522E-01,6451.57223,0.32899
570,3.12991E-04,1.48092E-01,6133.30936,0.32822
560,4.10808E-04,1.89721E-01,5800.33132,0.32744
550,5.37050E-04,2.40461E-01,5438.45162,0.32666
540,6.99268E-04,3.01032E-01,5066.70512,0.32588
530,9.06801E-04,3.71546E-01,4670.94661,0.32510
520,1.17113E-03,4.51172E-01,4264.53426,0.32433
510,1.50628E-03,5.37818E-01,3858.78726,0.32355
500,1.92930E-03,6.27962E-01,3471.24671,0.32277
490,2.46078E-03,7.16764E-01,3113.15852,0.32200
480,3.12541E-03,7.98651E-01,2806.04767,0.32122
470,3.95263E-03,8.68370E-01,2559.24473,0.32044
460,4.97730E-03,9.22288E-01,2380.21080,0.31967
450,6.24039E-03,9.59445E-01,2263.60204,0.31889
440,7.78974E-03,9.81757E-01,2197.44984,0.31811
430,9.68074E-03,9.93131E-01,2165.36313,0.31734
420,1.19770E-02,9.97907E-01,2152.58543,0.31656
410,1.47511E-02,9.99504E-01,2148.53665,0.31579
400,1.80848E-02,9.99913E-01,2147.54728,0.31501
390,2.20697E-02,9.99989E-01,2147.37167,0.31424
380,2.68070E-02,9.99999E-01,2147.34988,0.31346
370,3.24076E-02,1.00000E+00,2147.35209,0.31269
360,3.89911E-02,1.00000E+00,2147.35200,0.31191
350,4.66854E-02,1.00000E+00,2147.34800,0.31114
340,5.56245E-02,1.00000E+00,2147.35200,0.31037
330,6.59468E-02,1.00000E+00,2147.35200,0.30959
320,7.77922E-02,1.00000E+00,2147.34800,0.30882
310,9.12988E-02,1.00000E+00,2147.35200,0.30804
300,1.06599E-01,1.00000E+00,2147.35200,0.30727
290,1.23814E-01,1.00000E+00,2147.35200,0.30650
280,1.43050E-01,1.00000E+00,2147.35200,0.30573
270,1.64392E-01,1.00000E+00,2147.34800,0.30495
260,1.87898E-01,1.00000E+00,2147.34800,0.30418
250,2.13593E-01,1.00000E+00,2147.35200,0.30341
240,2.41465E-01,1.00000E+00,2147.35200,0.30264
230,2.71458E-01,1.00000E+00,2147.35200,0.30186
220,3.03472E-01,1.00000E+00,2147.35200,0.30109
210,3.37356E-01,1.00000E+00,2147.34800,0.30032
200,3.72911E-01,1.00000E+00,2147.35200,0.29955
190,4.09890E-01,1.00000E+00,2147.35200,0.29878
180,4.48002E-01,1.00000E+00,2147.35200,0.29801
170,4.86915E-01,1.00000E+00,2147.34800,0.29724
160,5.26268E-01,1.00000E+00,2147.35200,0.29647
150,5.65676E-01,1.00000E+00,2147.35200,0.29569
140,6.04744E-01,1.00000E+00,2147.35200,0.29492
130,6.43078E-01,1.00000E+00,2147.35200,0.29415
120,6.80297E-01,1.00000E+00,2147.34960,0.29338
110,7.16045E-01,1.00000E+00,2147.35280,0.29261
100,7.50004E-01,1.00000E+00,2147.35120,0.29185
