Voltage (mV),Bit Error Rate (CDF),Block Error Rate (CDF),Static Power (mW),Access Energy (nJ)
1000,9.49151E-11,4.85965E-08,5046.43579,0.17693
990,1.43511E-10,7.34777E-08,4931.37569,0.17652
980,2.16409E-10,1.10801E-07,4817.77554,0.17611
970,3.25456E-10,1.66633E-07,4705.61533,0.17571
960,4.88118E-10,2.49916E-07,4594.89502,0.17530
950,7.30065E-10,3.73793E-07,4485.63457,0.17490
940,1.08890E-09,5.57519E-07,4377.81393,0.17449
930,1.61956E-09,8.29217E-07,4271.43301,0.17409
920,2.40201E-09,1.22983E-06,4166.51169,0.17368
910,3.55227E-09,1.81876E-06,4095.62976,0.17328
900,5.23818E-09,2.68195E-06,3993.20707,0.17287
890,7.70170E-09,3.94326E-06,3892.26327,0.17247
880,1.12904E-08,5.78069E-06,3811.65781,0.17207
870,1.65022E-08,8.44908E-06,3722.71016,0.17166
860,2.40472E-08,1.23121E-05,3638.05939,0.17126
850,3.49357E-08,1.78869E-05,3554.58431,0.17086
840,5.05990E-08,2.59063E-05,3475.26319,0.17045
830,7.30582E-08,3.74051E-05,3394.03392,0.17005
820,1.05157E-07,5.38390E-05,3316.87322,0.16965
810,1.50882E-07,7.72486E-05,3240.81700,0.16925
800,2.15800E-07,1.10484E-04,3165.77967,0.16884
790,3.07659E-07,1.57509E-04,3094.65324,0.16844
780,4.37197E-07,2.23820E-04,3021.70840,0.16804
770,6.19243E-07,3.17002E-04,2952.55060,0.16764
760,8.74194E-07,4.47487E-04,2884.32243,0.16724
750,1.23000E-06,6.29561E-04,2817.00032,0.16683
740,1.72479E-06,8.82704E-04,2750.57341,0.16643
730,2.41041E-06,1.23337E-03,2687.59827,0.16603
720,3.35703E-06,1.71733E-03,2622.76805,0.16563
710,4.65923E-06,2.38269E-03,2561.20709,0.16523
700,6.44398E-06,3.29389E-03,2497.69925,0.16483
690,8.88101E-06,4.53677E-03,2437.17927,0.16443
680,1.21962E-05,6.22503E-03,2376.97204,0.16403
670,1.66888E-05,8.50834E-03,2316.90029,0.16363
660,2.27537E-05,1.15824E-02,2256.72354,0.16323
650,3.09095E-05,1.57013E-02,2198.51345,0.16283
640,4.18339E-05,2.11917E-02,2139.48225,0.16243
630,5.64091E-05,2.84692E-02,2077.07663,0.16203
620,7.57773E-05,3.80564E-02,2015.24277,0.16163
610,1.01411E-04,5.05999E-02,1951.17954,0.16123
600,1.35198E-04,6.68844E-02,1884.27073,0.16084
590,1.79549E-04,8.78379E-02,1813.82961,0.16044
580,2.37525E-04,1.14522E-01,1741.03060,0.16004
570,3.12991E-04,1.48092E-01,1661.46304,0.15964
560,4.10808E-04,1.89721E-01,1578.22007,0.15924
550,5.37050E-04,2.40461E-01,1487.74691,0.15885
540,6.99268E-04,3.01032E-01,1394.81308,0.15845
530,9.06801E-04,3.71546E-01,1295.87814,0.15805
520,1.17113E-03,4.51172E-01,1194.27511,0.15765
510,1.50628E-03,5.37818E-01,1092.83228,0.15726
500,1.92930E-03,6.27962E-01,995.95105,0.15686
490,2.46078E-03,7.16764E-01,906.43163,0.15646
480,3.12541E-03,7.98651E-01,829.64992,0.15607
470,3.95263E-03,8.68370E-01,767.94518,0.15567
460,4.97730E-03,9.22288E-01,723.19070,0.15528
450,6.24039E-03,9.59445E-01,694.04051,0.15488
440,7.78974E-03,9.81757E-01,677.50046,0.15448
430,9.68074E-03,9.93131E-01,669.47878,0.15409
420,1.19770E-02,9.97907E-01,666.28435,0.15369
410,1.47511E-02,9.99504E-01,665.27216,0.15330
400,1.80848E-02,9.99913E-01,665.02582,0.15290
390,2.20697E-02,9.99989E-01,664.98192,0.15251
380,2.68070E-02,9.99999E-01,664.97647,0.15212
370,3.24076E-02,1.00000E+00,664.97602,0.15172
360,3.89911E-02,1.00000E+00,664.97600,0.15133
350,4.66854E-02,1.00000E+00,664.97600,0.15093
340,5.56245E-02,1.00000E+00,664.97600,0.15054
330,6.59468E-02,1.00000E+00,664.97600,0.15015
320,7.77922E-02,1.00000E+00,664.97600,0.14975
310,9.12988E-02,1.00000E+00,664.97600,0.14936
300,1.06599E-01,1.00000E+00,664.97600,0.14897
290,1.23814E-01,1.00000E+00,664.97600,0.14857
280,1.43050E-01,1.00000E+00,664.97600,0.14818
270,1.64392E-01,1.00000E+00,664.97600,0.14779
260,1.87898E-01,1.00000E+00,664.97600,0.14740
250,2.13593E-01,1.00000E+00,664.97400,0.14701
240,2.41465E-01,1.00000E+00,664.97600,0.14661
230,2.71458E-01,1.00000E+00,664.97600,0.14622
220,3.03472E-01,1.00000E+00,664.97620,0.14583
210,3.37356E-01,1.00000E+00,664.97540,0.14544
200,3.72911E-01,1.00000E+00,664.97660,0.14505
190,4.09890E-01,1.00000E+00,664.97520,0.14466
180,4.48002E-01,1.00000E+00,664.97660,0.14427
170,4.86915E-01,1.00000E+00,664.97640,0.14388
160,5.26268E-01,1.00000E+00,664.97660,0.14349
150,5.65676E-01,1.00000E+00,664.97600,0.14310
140,6.04744E-01,1.00000E+00,664.97520,0.14271
130,6.43078E-01,1.00000E+00,664.97600,0.14232
120,6.80297E-01,1.00000E+00,664.97640,0.14193
110,7.16045E-01,1.00000E+00,664.97620,0.14154
100,7.50004E-01,1.00000E+00,664.97580,0.14115
